model,granularity,MAE,RMSE
naive,daily,17.86285476187857,24.109943464635027
moving_avg,daily,13.183250086881127,17.653833420354736
naive,weekly,61.7565,82.24473260749394
moving_avg,weekly,68.33226576581079,97.56712632568973
